Country,Excitement - # Users,Excitement - # None,Excitement - # Have Fun,Excitement - # Bring World Together,Excitement - # Make Us Smart/Better Educated,Excitement - # Make Life Easier,Excitement - # Other
Israel,158,38.0,15.0,25.0,27.0,34.0,19.0
Italy,27609,7093.0,1506.0,4672.0,3028.0,8789.0,2521.0
Jamaica,27,6.0,1.0,6.0,5.0,7.0,2.0
Japan,154,36.0,14.0,24.0,32.0,35.0,13.0
Jersey,13,3.0,2.0,2.0,0.0,6.0,0.0
Jordan,28,3.0,4.0,4.0,8.0,6.0,3.0
Kazakhstan,9,0.0,0.0,1.0,4.0,3.0,1.0
Kenya,251,14.0,19.0,67.0,47.0,96.0,8.0
"Korea, Republic of",45,9.0,4.0,6.0,8.0,13.0,5.0
Kuwait,18,6.0,2.0,1.0,2.0,5.0,2.0
Kyrgyzstan,1,0.0,0.0,0.0,1.0,0.0,0.0
Lao People's Democratic Republic,6,0.0,0.0,1.0,1.0,4.0,0.0
Latvia,39,8.0,6.0,3.0,5.0,13.0,4.0
Lebanon,46,10.0,7.0,8.0,4.0,15.0,2.0
Lesotho,3,0.0,2.0,0.0,0.0,1.0,0.0
Liberia,8,0.0,0.0,5.0,1.0,1.0,1.0
Libya,1,0.0,0.0,1.0,0.0,0.0,0.0
Liechtenstein,8,3.0,1.0,0.0,1.0,3.0,0.0
Lithuania,63,8.0,7.0,11.0,12.0,18.0,7.0
Luxembourg,212,65.0,12.0,20.0,32.0,60.0,23.0
Macau,3,1.0,0.0,0.0,0.0,2.0,0.0
Macedonia,28,7.0,4.0,1.0,6.0,9.0,1.0
Madagascar,152,29.0,12.0,15.0,50.0,37.0,9.0
Malawi,12,1.0,1.0,2.0,2.0,6.0,0.0
Malaysia,289,31.0,31.0,58.0,59.0,95.0,15.0
Maldives,9,1.0,0.0,0.0,3.0,3.0,2.0
Mali,47,4.0,3.0,11.0,9.0,16.0,4.0
Malta,42,11.0,6.0,4.0,6.0,12.0,3.0
Marshall Islands,1,0.0,0.0,0.0,0.0,0.0,1.0
Martinique,101,39.0,6.0,8.0,11.0,26.0,11.0
Mauritania,5,1.0,0.0,0.0,2.0,2.0,0.0
Mauritius,60,5.0,6.0,15.0,16.0,16.0,2.0
Mayotte,22,10.0,2.0,5.0,1.0,2.0,2.0
Mexico,6531,1360.0,1104.0,837.0,1023.0,1638.0,569.0
"Micronesia, Federated States of",1,0.0,0.0,0.0,1.0,0.0,0.0
"Moldova, Republic of",11,4.0,1.0,1.0,1.0,4.0,0.0
Monaco,21,6.0,2.0,1.0,2.0,10.0,0.0
Mongolia,18,2.0,3.0,1.0,1.0,10.0,1.0
Montenegro,13,1.0,1.0,2.0,3.0,4.0,2.0
Morocco,520,77.0,42.0,73.0,129.0,160.0,39.0
Mozambique,21,4.0,5.0,1.0,3.0,8.0,0.0
Myanmar,60,4.0,4.0,6.0,21.0,24.0,1.0
Namibia,22,10.0,0.0,4.0,2.0,4.0,2.0
Nepal,124,10.0,10.0,33.0,35.0,31.0,5.0
Netherlands,730,166.0,68.0,120.0,138.0,180.0,58.0
New Caledonia,132,33.0,14.0,17.0,20.0,36.0,12.0
New Zealand,576,183.0,41.0,108.0,112.0,77.0,55.0
Nicaragua,162,36.0,19.0,29.0,35.0,34.0,9.0
Niger,23,2.0,2.0,8.0,5.0,5.0,1.0
Nigeria,240,10.0,19.0,41.0,68.0,92.0,10.0
Northern Mariana Islands,1,0.0,0.0,0.0,1.0,0.0,0.0
Norway,241,54.0,28.0,43.0,44.0,53.0,19.0
Oman,16,2.0,0.0,3.0,5.0,6.0,0.0
Pakistan,297,17.0,30.0,58.0,87.0,90.0,15.0
Palestinian Territory,5,2.0,0.0,1.0,1.0,1.0,0.0
Panama,159,21.0,32.0,26.0,25.0,40.0,15.0
Papua New Guinea,10,1.0,1.0,3.0,3.0,1.0,1.0
Paraguay,265,55.0,44.0,38.0,36.0,72.0,20.0
Peru,828,87.0,148.0,168.0,158.0,215.0,52.0
Philippines,416,43.0,35.0,86.0,119.0,110.0,23.0
Poland,185,28.0,21.0,29.0,34.0,55.0,18.0
Portugal,301,89.0,20.0,51.0,52.0,71.0,18.0
Puerto Rico,98,16.0,15.0,12.0,17.0,31.0,7.0
Qatar,27,3.0,0.0,12.0,4.0,6.0,2.0
Reunion,366,118.0,25.0,51.0,49.0,87.0,36.0
Romania,360,85.0,24.0,60.0,74.0,105.0,12.0
Russian Federation,178,39.0,10.0,36.0,43.0,41.0,9.0
Rwanda,14,3.0,2.0,3.0,4.0,2.0,0.0
Saint Kitts and Nevis,2,0.0,0.0,1.0,1.0,0.0,0.0
Saint Lucia,2,1.0,0.0,0.0,1.0,0.0,0.0
Saint Martin,1,1.0,0.0,0.0,0.0,0.0,0.0
Saint Pierre and Miquelon,6,3.0,1.0,0.0,0.0,1.0,1.0
Saint Vincent and the Grenadines,1,0.0,0.0,0.0,1.0,0.0,0.0
San Marino,14,1.0,2.0,2.0,1.0,5.0,3.0
Sao Tome and Principe,1,1.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,81,8.0,12.0,11.0,21.0,24.0,5.0
Senegal,130,13.0,6.0,22.0,36.0,48.0,5.0
Serbia,174,29.0,24.0,21.0,38.0,46.0,16.0
Seychelles,3,1.0,0.0,1.0,0.0,1.0,0.0
Sierra Leone,4,0.0,0.0,0.0,2.0,2.0,0.0
Singapore,160,32.0,25.0,32.0,20.0,40.0,11.0
Sint Maarten (Dutch part),1,0.0,0.0,0.0,1.0,0.0,0.0
Slovakia,67,18.0,7.0,9.0,10.0,18.0,5.0
Slovenia,71,18.0,7.0,14.0,13.0,17.0,2.0
Solomon Islands,2,1.0,1.0,0.0,0.0,0.0,0.0
Somalia,3,0.0,0.0,1.0,1.0,0.0,1.0
South Africa,456,69.0,45.0,67.0,127.0,112.0,36.0
South Sudan,2,0.0,0.0,0.0,0.0,1.0,1.0
Spain,5633,1691.0,518.0,723.0,589.0,1526.0,586.0
Sri Lanka,91,1.0,7.0,14.0,33.0,32.0,4.0
Sudan,20,1.0,0.0,2.0,9.0,7.0,1.0
Suriname,3,0.0,0.0,1.0,2.0,0.0,0.0
Swaziland,5,1.0,0.0,0.0,2.0,2.0,0.0
Sweden,327,63.0,44.0,59.0,63.0,71.0,27.0
Switzerland,3566,1140.0,276.0,491.0,424.0,902.0,333.0
Syrian Arab Republic,13,0.0,3.0,0.0,5.0,5.0,0.0
Taiwan,50,5.0,7.0,9.0,12.0,16.0,1.0
Tajikistan,1,0.0,0.0,0.0,0.0,1.0,0.0
"Tanzania, United Republic of",50,5.0,6.0,14.0,5.0,18.0,2.0
Thailand,167,37.0,10.0,23.0,32.0,52.0,13.0
Togo,55,9.0,4.0,13.0,13.0,13.0,3.0
Tonga,2,0.0,0.0,2.0,0.0,0.0,0.0
Trinidad and Tobago,32,8.0,3.0,6.0,6.0,9.0,0.0
Tunisia,209,27.0,20.0,29.0,43.0,73.0,17.0
Turkey,147,26.0,17.0,28.0,29.0,37.0,10.0
Turks and Caicos Islands,1,0.0,0.0,0.0,1.0,0.0,0.0
Uganda,56,4.0,3.0,14.0,14.0,17.0,4.0
Ukraine,72,10.0,5.0,11.0,23.0,19.0,4.0
United Arab Emirates,130,22.0,4.0,35.0,35.0,32.0,2.0
United Kingdom,4971,1620.0,356.0,805.0,857.0,902.0,431.0
United States,19789,6371.0,1369.0,2826.0,3714.0,3123.0,2386.0
Uruguay,456,116.0,60.0,84.0,67.0,84.0,45.0
Uzbekistan,1,1.0,0.0,0.0,0.0,0.0,0.0
Vanuatu,3,0.0,0.0,2.0,0.0,1.0,0.0
Venezuela,1519,150.0,251.0,235.0,323.0,463.0,97.0
Vietnam,91,9.0,11.0,14.0,21.0,32.0,4.0
"Virgin Islands, U.S.",4,0.0,0.0,1.0,1.0,2.0,0.0
Yemen,2,1.0,0.0,0.0,1.0,0.0,0.0
Zambia,23,1.0,0.0,10.0,4.0,8.0,0.0
Zimbabwe,54,2.0,8.0,9.0,5.0,30.0,0.0
