Country,# Users,# Fear - Privacy Loss,# Fear - Lose Touch,# Fear - None,# Fear - Other,# Fear - Be Less Safe
Kyrgyzstan,1,0.0,1.0,0.0,0.0,0.0
Lao People's Democratic Republic,6,4.0,0.0,2.0,0.0,0.0
Latvia,36,18.0,4.0,3.0,2.0,9.0
Lebanon,44,18.0,11.0,1.0,4.0,10.0
Lesotho,3,2.0,0.0,1.0,0.0,0.0
Liberia,8,3.0,1.0,2.0,1.0,1.0
Libya,1,1.0,0.0,0.0,0.0,0.0
Liechtenstein,8,6.0,0.0,0.0,0.0,2.0
Lithuania,63,34.0,11.0,1.0,5.0,12.0
Luxembourg,209,113.0,41.0,12.0,20.0,23.0
Macau,3,1.0,0.0,1.0,0.0,1.0
Macedonia,29,12.0,6.0,3.0,1.0,7.0
Madagascar,155,54.0,45.0,16.0,8.0,32.0
Malawi,12,9.0,0.0,1.0,1.0,1.0
Malaysia,287,147.0,52.0,29.0,19.0,40.0
Maldives,9,2.0,1.0,1.0,1.0,4.0
Mali,48,19.0,6.0,7.0,3.0,13.0
Malta,42,16.0,10.0,4.0,3.0,9.0
Marshall Islands,1,0.0,0.0,0.0,1.0,0.0
Martinique,101,45.0,27.0,8.0,11.0,10.0
Mauritania,6,1.0,4.0,1.0,0.0,0.0
Mauritius,62,37.0,10.0,4.0,3.0,8.0
Mayotte,23,10.0,4.0,1.0,1.0,7.0
Mexico,6464,3181.0,1442.0,659.0,441.0,741.0
"Micronesia, Federated States of",1,0.0,0.0,0.0,0.0,1.0
"Moldova, Republic of",11,6.0,4.0,1.0,0.0,0.0
Monaco,21,8.0,9.0,1.0,1.0,2.0
Mongolia,17,9.0,2.0,0.0,5.0,1.0
Montenegro,14,7.0,0.0,3.0,1.0,3.0
Morocco,530,200.0,142.0,56.0,36.0,96.0
Mozambique,21,7.0,7.0,5.0,1.0,1.0
Myanmar,59,28.0,8.0,13.0,0.0,10.0
Namibia,21,9.0,10.0,0.0,1.0,1.0
Nepal,117,57.0,18.0,21.0,4.0,17.0
Netherlands,732,378.0,120.0,47.0,64.0,123.0
New Caledonia,133,72.0,34.0,5.0,9.0,13.0
New Zealand,575,267.0,112.0,25.0,64.0,107.0
Nicaragua,161,90.0,31.0,20.0,7.0,13.0
Niger,23,10.0,4.0,4.0,1.0,4.0
Nigeria,240,120.0,22.0,58.0,9.0,31.0
Northern Mariana Islands,1,0.0,0.0,1.0,0.0,0.0
Norway,241,127.0,36.0,11.0,29.0,38.0
Oman,15,7.0,5.0,1.0,1.0,1.0
Pakistan,291,123.0,62.0,31.0,14.0,61.0
Palestinian Territory,5,5.0,0.0,0.0,0.0,0.0
Panama,156,83.0,31.0,11.0,8.0,23.0
Papua New Guinea,10,6.0,1.0,1.0,2.0,0.0
Paraguay,259,127.0,54.0,32.0,7.0,39.0
Peru,820,396.0,175.0,107.0,50.0,92.0
Philippines,415,229.0,72.0,23.0,30.0,61.0
Poland,184,99.0,24.0,7.0,22.0,32.0
Portugal,303,154.0,70.0,12.0,19.0,48.0
Puerto Rico,96,54.0,22.0,8.0,0.0,12.0
Qatar,26,15.0,6.0,1.0,1.0,3.0
Reunion,370,197.0,76.0,21.0,21.0,55.0
Romania,361,163.0,75.0,40.0,15.0,68.0
Russian Federation,177,79.0,35.0,8.0,12.0,43.0
Rwanda,14,7.0,2.0,5.0,0.0,0.0
Saint Kitts and Nevis,2,0.0,1.0,0.0,0.0,1.0
Saint Lucia,2,1.0,0.0,0.0,0.0,1.0
Saint Martin,1,0.0,1.0,0.0,0.0,0.0
Saint Pierre and Miquelon,6,3.0,0.0,0.0,3.0,0.0
Saint Vincent and the Grenadines,1,1.0,0.0,0.0,0.0,0.0
San Marino,15,4.0,7.0,0.0,3.0,1.0
Sao Tome and Principe,1,0.0,0.0,1.0,0.0,0.0
Saudi Arabia,79,29.0,20.0,5.0,2.0,23.0
Senegal,132,61.0,24.0,11.0,10.0,26.0
Serbia,173,83.0,40.0,16.0,6.0,28.0
Seychelles,3,0.0,1.0,0.0,0.0,2.0
Sierra Leone,4,2.0,0.0,1.0,0.0,1.0
Singapore,160,75.0,34.0,16.0,11.0,24.0
Sint Maarten (Dutch part),1,1.0,0.0,0.0,0.0,0.0
Slovakia,67,32.0,13.0,5.0,6.0,11.0
Slovenia,72,37.0,14.0,3.0,4.0,14.0
Solomon Islands,2,1.0,0.0,0.0,0.0,1.0
Somalia,2,1.0,1.0,0.0,0.0,0.0
South Africa,448,219.0,79.0,45.0,35.0,70.0
South Sudan,2,1.0,0.0,0.0,1.0,0.0
Spain,5592,2933.0,999.0,454.0,447.0,759.0
Sri Lanka,87,35.0,18.0,13.0,6.0,15.0
Sudan,20,11.0,4.0,2.0,1.0,2.0
Suriname,3,2.0,0.0,0.0,0.0,1.0
Swaziland,5,4.0,0.0,0.0,0.0,1.0
Sweden,327,175.0,48.0,18.0,34.0,52.0
Switzerland,3571,1615.0,840.0,254.0,353.0,509.0
Syrian Arab Republic,13,5.0,1.0,4.0,0.0,3.0
Taiwan,49,27.0,3.0,3.0,3.0,13.0
Tajikistan,1,1.0,0.0,0.0,0.0,0.0
"Tanzania, United Republic of",50,21.0,5.0,11.0,2.0,11.0
Thailand,172,75.0,30.0,17.0,16.0,34.0
Togo,56,26.0,3.0,9.0,2.0,16.0
Tonga,2,1.0,0.0,0.0,0.0,1.0
Trinidad and Tobago,32,19.0,6.0,3.0,1.0,3.0
Tunisia,213,83.0,60.0,15.0,14.0,41.0
Turkey,145,74.0,23.0,13.0,11.0,24.0
Turks and Caicos Islands,1,1.0,0.0,0.0,0.0,0.0
Uganda,55,27.0,10.0,6.0,3.0,9.0
Ukraine,72,36.0,11.0,9.0,5.0,11.0
United Arab Emirates,132,68.0,31.0,8.0,6.0,19.0
United Kingdom,4976,2345.0,713.0,249.0,572.0,1097.0
United States,19712,9916.0,3027.0,967.0,2570.0,3232.0
Uruguay,451,191.0,116.0,63.0,30.0,51.0
Uzbekistan,1,0.0,1.0,0.0,0.0,0.0
Vanuatu,3,2.0,0.0,1.0,0.0,0.0
Venezuela,1508,681.0,304.0,275.0,73.0,175.0
Vietnam,92,48.0,17.0,5.0,7.0,15.0
"Virgin Islands, U.S.",4,1.0,0.0,1.0,0.0,2.0
Yemen,2,1.0,1.0,0.0,0.0,0.0
Zambia,24,8.0,7.0,3.0,1.0,5.0
Zimbabwe,54,23.0,12.0,12.0,3.0,4.0
